model,term,beta,std.error,statistic,p.value,conf.low,conf.high,hr,hr.low,hr.high,p.fdr
M3,(Intercept),-3.36537937923708,0.115675903894731,-29.0931755527902,4.37944697425998e-186,-3.59209998474987,-3.1386587737243,0.034548906493614,0.0275404351610985,0.0433408888756599,1.313834092278e-185
M3,climate_z,-0.0510135395607496,0.0483518789427789,-1.05504771843759,0.291403501213658,-0.145781480873437,0.0437544017519376,0.95026580426374,0.864346558804687,1.04472574056613,0.437105251820487
M3,effort_z,0.000781256366168945,0.0493919820948305,0.0158174734650042,0.987380008371364,-0.0960252496647459,0.0975877623970838,1.00078156162641,0.908441077946458,1.10250819607965,0.987380008371364
M5_log,(Intercept),-9.6244524718036,0.132921211288147,-72.4071980576497,0,-9.8849732587098,-9.36393168489739,6.60926857326393e-05,5.09343372998469e-05,8.57622448612196e-05,0
M5_log,climate_z,0.135046181411256,0.0513324425951314,2.63081541777371,0.00851802855145566,0.0344364426863285,0.235655920136183,1.14458964189576,1.03503624216243,1.26573872002586,0.00851802855145566
M5_sqrt,(Intercept),-31.1391467817522,1.03881116279057,-29.9757529540815,2.03214266275844e-197,-33.1751792475599,-29.1031143159445,2.99530037941008e-14,3.91023372079723e-15,2.29444708513867e-13,4.06428532551688e-197
M5_sqrt,climate_z,-0.503464778220475,0.132653344748276,-3.79534175467535,0.000147440214470038,-0.763460556355871,-0.243469000085079,0.604432801897521,0.46605083801416,0.783903776605994,0.000147440214470038
M5_z,(Intercept),-3.68241937281833,0.125459995188521,-29.35134316947,2.29704283817506e-189,-3.9283164448884,-3.43652230074826,0.0251620248156539,0.0196767716126301,0.0321763907864434,4.59408567635012e-189
M5_z,climate_z,0.087307342562985,0.0503644290824973,1.73351200745222,0.0830047051714984,-0.0114051245406314,0.186019809666601,1.0912320102278,0.988659667338514,1.20444611981738,0.0830047051714984
M5_none,(Intercept),-3.36540967886254,0.115668058210567,-29.0954108759742,4.10337849211201e-186,-3.59211490711693,-3.13870445060815,0.0345478596905464,0.0275400241956823,0.0433389092441248,8.20675698422403e-186
M5_none,climate_z,-0.0511386953590476,0.0476979703633465,-1.0721356688658,0.283659099984638,-0.144624999406866,0.0423476086887703,0.950146880430571,0.865346737813408,1.04325706094776,0.283659099984638
